2025-07-08T08:49:54.957+08:00  WARN 99473 --- [MyWebProject] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9h27m40s805ms).
2025-07-08T09:08:36.581+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing POST /login
2025-07-08T10:14:46.728+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:46.728+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T10:14:47.030+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing OPTIONS /cartitem/allitems
2025-07-08T10:14:47.034+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:47.068+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:47.068+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 842925D68720B95A9AA6F484AE3A7F3C
2025-07-08T10:14:47.069+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T10:14:47.071+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:47.068+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:47.073+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /cartitem/allitems
2025-07-08T10:14:47.074+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:47.105+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:47.108+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:47.136+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from A167D01D7B9FB6F51E36C307A421B46E
2025-07-08T10:14:47.138+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:47.139+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /cartitem/allitems
2025-07-08T10:14:47.138+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:47.154+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:47.202+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:47.207+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:47.220+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:47.252+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T10:14:47.252+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:47.252+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 842925D68720B95A9AA6F484AE3A7F3C
2025-07-08T10:14:47.252+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T10:14:47.252+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:47.281+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:47.284+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:47.326+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:47.348+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from A3CD5A34822601CACFD2FB46A5480EA3
2025-07-08T10:14:47.352+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:47.473+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /cartitem/allitems
2025-07-08T10:14:47.476+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /cartitem/allitems
2025-07-08T10:14:50.291+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing OPTIONS /cartitem/update
2025-07-08T10:14:50.313+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing PUT /cartitem/update
2025-07-08T10:14:50.329+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from CCFEA382EDE074D9AFEA8719A2CCA6E2
2025-07-08T10:14:50.331+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured PUT /cartitem/update
2025-07-08T10:14:50.618+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing PUT /cartitem/update
2025-07-08T10:14:50.664+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured PUT /cartitem/update
2025-07-08T10:14:53.421+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:53.426+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:53.427+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from D40A5D630C8D6C1539F2390A5882EC44
2025-07-08T10:14:53.429+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:53.433+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:53.446+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T10:14:53.448+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:53.455+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:53.461+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /categories
2025-07-08T10:14:53.472+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:53.487+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id D40A5D630C8D6C1539F2390A5882EC44
2025-07-08T10:14:53.488+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /products
2025-07-08T10:14:53.474+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:53.462+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:53.517+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id D40A5D630C8D6C1539F2390A5882EC44
2025-07-08T10:14:53.518+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /categories
2025-07-08T10:14:53.544+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:53.557+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:53.562+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:53.584+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:53.585+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T10:14:53.585+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:53.585+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id D40A5D630C8D6C1539F2390A5882EC44
2025-07-08T10:14:53.586+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /products
2025-07-08T10:14:53.588+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:53.595+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /categories
2025-07-08T10:14:53.596+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:53.597+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /categories
2025-07-08T10:14:53.638+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:53.639+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:53.639+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:53.644+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:53.644+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 323B3D601CE82C32510A74D84A7E8913
2025-07-08T10:14:53.644+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:53.645+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:53.738+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T10:14:53.739+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:53.739+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T10:14:53.766+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:53.771+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:53.776+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 710173A5658CAAFA4B904605FCE1160F
2025-07-08T10:14:53.776+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 920C89A19BFCC94157BBE3720D425CBE
2025-07-08T10:14:53.776+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:53.777+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:53.787+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:53.794+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:53.800+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T10:14:53.801+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:53.801+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T10:14:53.837+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T10:14:53.837+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:53.838+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T10:14:53.938+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:53.950+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 6A0A4E654143AB9F9688478BA53223F3
2025-07-08T10:14:53.951+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:54.816+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:54.816+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:54.816+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:54.817+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T10:14:54.818+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:54.819+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /cartitem/allitems
2025-07-08T10:14:54.819+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T10:14:54.822+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 6AE8F5F83A5B9DBFD279C5D5362C827C
2025-07-08T10:14:54.822+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:54.822+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:54.831+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /cartitem/allitems
2025-07-08T10:14:54.822+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:54.839+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:54.849+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:54.857+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:54.864+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:54.873+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:54.880+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:54.887+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T10:14:54.888+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:54.889+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 6AE8F5F83A5B9DBFD279C5D5362C827C
2025-07-08T10:14:54.893+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T10:14:54.903+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:54.903+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:54.907+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:54.911+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:54.913+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /cartitem/allitems
2025-07-08T10:14:54.922+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /cartitem/allitems
2025-07-08T10:14:54.934+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:54.941+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:54.980+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:54.983+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from B8DA69C9E92641B8C26FECD6F3697BAA
2025-07-08T10:14:54.999+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:56.610+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing OPTIONS /orders/user
2025-07-08T10:14:56.613+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T10:14:56.617+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:56.617+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T10:14:56.651+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T10:14:56.668+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing OPTIONS /orders/store
2025-07-08T10:14:56.669+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from C3132C7D781D12E2E9BC4D7B561C7A00
2025-07-08T10:14:56.673+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-11] o.s.security.web.FilterChainProxy        : Securing OPTIONS /userlist
2025-07-08T10:14:56.676+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:56.666+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T10:14:56.677+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T10:14:56.673+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T10:14:56.678+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:56.678+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id C3132C7D781D12E2E9BC4D7B561C7A00
2025-07-08T10:14:56.679+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /products
2025-07-08T10:14:56.679+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /userlist
2025-07-08T10:14:56.684+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing OPTIONS /orders/user
2025-07-08T10:14:56.685+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /orders/user
2025-07-08T10:14:56.686+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-11] o.s.security.web.FilterChainProxy        : Securing OPTIONS /orders/store
2025-07-08T10:14:56.689+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:56.690+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T10:14:56.694+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /orders/user
2025-07-08T10:14:56.700+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /orders/store
2025-07-08T10:14:56.738+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /userlist
2025-07-08T10:14:56.746+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /userlist
2025-07-08T10:14:56.750+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T10:14:56.757+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T10:14:56.766+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-11] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T10:14:56.766+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-11] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T10:14:56.766+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-11] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id C3132C7D781D12E2E9BC4D7B561C7A00
2025-07-08T10:14:56.767+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-11] o.s.security.web.FilterChainProxy        : Secured GET /products
